timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1550.259805301,-14.5733,-16.2274,-17.9932,-16.8309,-91286.4453,-12581.6182,-21817.2246,-23847.1426,-19.0884,2307.8401,-14.3722,10.5947,-51119.8047,-14477.1357,-86067.3594,-48076.2344
1550.263596572,-14.618,-16.1603,-17.9932,-16.8085,-91285.7109,-12560.0264,-21799.3652,-23821.7285,82031.2578,46872.6133,295.2442,93748.2031,-140627.0312,87361.0078,-48682.0977,36116.418
1550.267948341,-93752.2656,93747.9062,35461.7578,-1572.1993,184772.5,90770.8828,0.0,0.0,-19.1554,2519.6897,-14.4392,56.0135,-51133.6406,-14475.1016,-86094.3828,-48078.668
1550.271750761,-14.618,-16.138,-18.0379,-16.7415,-91340.8984,-12634.5693,-21886.1582,-23889.4336,-19.1107,2703.0188,-14.4616,203.915,-51178.3867,-14530.4668,-86133.0547,-48123.6641
1550.275549718,-93750.0078,-14.6627,-16.138,-18.0155,-16.7862,-91292.1719,-12592.1904,-21849.1211,0.0,0.0224,-93750.0078,-19.1331,2338.8418,-14.4392,30.5101,-51128.5859
1550.276137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86072.0938,-48078.7383,0.0,0.0,0.0,0.0,0.0,0.0
1550.280534082,-14.6627,-16.138,-18.0379,-16.7638,-91283.875,-12559.8477,-21819.5039,-23824.7461,-19.1554,2343.2229,-14.3498,-16.1156,-51111.5547,-14452.8838,-86065.5938,-48056.0508
1550.284529958,-14.6627,-16.138,-18.0155,-16.7862,-91304.4141,-12573.8623,-21836.8047,-23833.8438,-19.2001,2488.3081,-14.3498,28.6996,-51128.4961,-14468.7979,-86089.2422,-48070.5547
1550.287797567,-14.5957,-16.138,-17.9932,-16.7638,-91345.5859,-12632.7363,-21902.5195,-23891.9805,-19.1778,2721.8391,-14.4616,213.7497,-51179.0352,-14530.1982,-86135.4453,-48122.3906
1550.291592487,-14.618,-16.1603,-18.0379,-16.8532,-91304.2578,-12610.1836,-21880.4355,-23875.8867,0.3353,-305.7719,38383.8242,-230.3124,864.6772,-68251.1641,143068.9531,122685.6172
1550.300515483,-14.5957,-16.205,-18.0379,-16.8309,-91299.4297,-12570.5986,-21846.1699,-23825.4395,-19.1331,2450.4888,-14.3945,8.7619,-51124.0508,-14458.2705,-86080.6172,-48062.5312
1550.303777999,-14.618,-16.1156,-17.9932,-16.8532,-91339.6641,-12621.1807,-21904.3965,-23875.373,-19.0884,2697.1404,-14.4616,187.0617,-51171.4375,-14514.6865,-86127.3281,-48109.3594
1550.307567196,-187500.0,-29.169,-32.2089,-35.9193,-33.55,-182629.1562,-25232.1465,-43809.2617,80.1087,45.754,-39138.5078,177337.6406,-29571.5371,165109.125,-131837.7344,-78288.125
1550.308157844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129730.2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550.311411748,0.0,0.0,0.0,0.0,0.0,0.0,10253.9072,5859.1299,0.0,0.0,0.0,0.0,0.0,0.0,10.0136,5.6997
1550.31201949,-93750.3047,158202.875,115761.2734,-35352.5469,-158544.5938,-88262.9453,-76171.8828,0.0,-166265.5312,-3679.2983,-3783.0552,41169.9023,50461.4102,94819.2969,75101.8594,0.0
1550.315856504,-14.618,-16.1603,-18.0155,-16.7862,-91294.3828,-12562.9316,-21855.4023,-23821.6855,-19.1107,2405.6958,-14.4392,-6.9737,-51116.6055,-14451.8555,-86073.0781,-48047.4648
1550.319674333,-14.5733,-16.1827,-18.0155,-16.7862,-91330.9297,-12608.2168,-21905.1562,-23862.543,-19.1778,2651.9004,-14.5063,150.6955,-51158.1602,-14499.5098,-86116.1719,-48085.7539
1550.328505341,-14.5733,-16.2274,-17.9932,-16.7862,-91281.7109,-12572.9014,-21871.4727,-23831.1621,-19.1331,2276.5698,-14.4392,-10.5277,-51109.543,-14454.1357,-86057.7031,-48042.3242
1550.331788007,-14.5733,-16.1827,-17.9932,-16.8085,-91298.2734,-12574.1973,-21871.8301,-23823.9414,-19.1331,2406.2324,-14.3945,-12.3158,-51118.7969,-14455.4766,-86075.5391,-48044.9844
1550.340498545,-14.551,-16.1827,-18.0155,-16.8085,-91336.4219,-12641.6777,-21953.0566,-23896.3848,-19.1331,2599.4185,-14.4839,157.1551,-51167.5898,-14520.4531,-86116.5547,-48094.6055
1550.343761506,-14.5957,-16.138,-18.0826,-16.8085,-91287.0469,-12579.9414,-21890.002,-23840.6387,-19.0884,2278.7156,-14.4392,-4.068,-51112.6055,-14460.3936,-86059.8281,-48041.6562
1550.371438104,0.0,0.0,0.0,0.0,0.0,0.0,1.2517,0.6929,0.0,0.0,0.0,0.0,10.0136,5.6997,-4898.0493,-59749.6328
1550.372042994,-519.2981,-575.8033,-538.0512,76695.4062,-29645.252,46725.4492,-15227.7969,0.0,51938.2344,23608.9414,28288.4805,74792.1328,61574.9414,0.0,0.0,0.0
1550.375852988,-14.5957,-16.2274,-18.0155,-16.8532,-91300.8203,-12598.5381,-21928.582,-23873.7637,-19.1107,2322.4805,-14.4392,27.6938,-51124.6992,-14484.8691,-86070.1953,-48053.1875
1550.37965213,-14.6404,-16.205,-18.0379,-16.8532,-91297.3125,-12575.3594,-21903.5254,-23842.2031,-19.0884,2356.2539,-14.3945,-16.1156,-51114.082,-14462.6738,-86067.1094,-48034.0117
1550.388485972,-14.5733,-16.138,-18.0155,-16.7862,-91352.7656,-12641.1631,-21981.2188,-23906.0625,-19.1107,2707.7126,-14.4839,199.3329,-51178.3633,-14535.9873,-86132.2031,-48095.2773
1550.391756971,-14.6627,-16.1827,-18.0155,-16.8085,-91313.625,-12612.5977,-21956.1855,-23889.5898,-19.0884,2395.6824,-14.3945,53.8006,-51143.0469,-14504.4492,-86083.9219,-48065.9727
1550.39555265,0.0,0.0,40.0543,22.8658,-14900.2314,-16548.1816,-18402.125,-17194.6152,183.0831,-156737.1875,-137878.4531,-117736.8516,-128381.9141,143364.5312,3620.0662,-20348.1797
1550.396146983,-122224.2578,62300.168,-43052.6797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550.399953014,-14.5957,-16.1156,-18.0155,-16.7638,-91311.5469,-12581.3945,-21922.7695,-23852.7988,139160.1719,120067.2656,57114.7656,-147667.0938,4713.8042,-7690.4307,0.0,0.0
1550.403882331,-14.6404,-16.138,-18.0379,-16.7862,-91351.4922,-12635.9775,-21982.918,-23908.4766,-19.1554,2712.5408,-14.5063,201.568,-51178.3633,-14531.3389,-86130.3047,-48090.2695
1550.4077054,-14.5957,-16.205,-18.0155,-16.8085,-91323.7734,-12628.7578,-21981.2871,-23914.043,-19.1554,2475.6123,-14.4392,98.9288,-51159.9453,-14521.2803,-86097.0859,-48077.7969
1550.435944552,-14.6851,-16.1603,-18.0379,-16.7862,-91339.2188,-12604.0596,-21980.3027,-23893.7246,15454.8457,-173627.0312,17617.5117,-147800.8438,-153090.5,0.0,0.0,0.0
1550.439738194,-14.618,-16.138,-18.0155,-16.8085,-91345.6328,-12633.7871,-22018.5918,-23932.8184,-19.1554,2604.604,-14.4839,153.4671,-51177.7383,-14538.625,-86121.7422,-48092.4609
1550.451937781,-14.6404,-16.1156,-17.9932,-16.8309,-91331.6641,-12588.4805,-21983.0742,-23888.918,0.0,183.1055,1831.0549,140633.5938,2563.4768,0.0,0.0,0.0
1550.455732052,-14.6404,-16.1603,-18.0379,-16.8532,-91352.4766,-12632.5352,-22036.1152,-23937.623,-19.2001,2665.4231,-14.4616,185.3854,-51182.7461,-14548.5713,-86133.2109,-48100.5742
1550.472470364,-14.6627,-16.1603,-17.9485,-16.8085,-91359.7344,-12629.1602,-22045.1016,-23939.2109,-19.066,2695.1062,-14.5063,192.3144,-51185.5156,-14548.3262,-86141.1875,-48099.4805
1550.475859444,-14.618,-16.1603,-17.9708,-16.8085,-91312.6641,-12585.8428,-22002.9238,-23906.8887,-19.066,2347.2908,-14.3945,29.996,-51139.0938,-14501.7891,-86084.8359,-48057.3477
1550.487909169,-14.5957,-16.1603,-18.0155,-16.8309,-91366.4688,-12629.4512,-22053.1484,-23937.8457,6610.2827,-138064.4531,-90424.9688,-131663.6875,-39095.168,0.0,0.0,0.0
1550.49172172,-14.6404,-16.205,-18.0379,-16.8309,-91322.7422,-12598.583,-22024.3594,-23917.2383,-19.0884,2396.9116,-14.4392,56.6393,-51152.5703,-14509.7021,-86094.625,-48065.7734
1550.495553345,0.0,0.0,0.0,0.0,0.0,5126.9536,2929.5537,-43945.4531,-19.0884,2315.3279,-14.3275,-15.6909,-51123.5586,-14467.502,-86073.375,-48033.9648
1550.499899373,-14.5957,-16.138,-17.9932,-16.7862,-91323.0391,-12569.8613,-21997.5137,-23876.1562,1.6317,-12783.8789,90131.4453,-21523.1875,175489.4688,0.0,0.0,0.0
1550.503696997,-14.618,-16.1603,-18.0379,-16.7862,-91361.5938,-12622.0078,-22055.1152,-23928.2344,-19.1331,2690.3901,-14.4839,178.4563,-51181.3164,-14527.5391,-86136.5156,-48085.7773
1550.507490879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10253.9072,5.6997,-4880.8833,-114898.7188,-3690.72,22412.4746,26607.293,33163.6641,81658.5859
1550.508087379,-76172.1484,-117187.8047,158202.875,104041.6016,-52931.5,58249.2031,122672.9688,-158203.1406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550.511885891,-14.5733,-16.1827,-18.0602,-16.7638,-91303.1641,-12559.959,-21993.8027,-23876.6699,-94482.4766,-90187.7656,-5155.2065,37917.8359,111966.75,4394.5317,0.0,0.0
1550.523912171,-14.6851,-16.1827,-18.0379,-16.8085,-91353.6328,-12623.6621,-22064.6133,-23944.127,43676.3828,186591.5156,-5382.501,137619.4062,-140625.0156,0.0,0.0,0.0
1550.52771048,-14.6404,-16.205,-17.9708,-16.8085,-91307.1016,-12562.8877,-21999.5918,-23884.6934,-19.1107,2278.3804,-14.3498,-8.6948,-51125.5703,-14473.8496,-86067.4297,-48037.8984
1550.539895566,-14.6851,-16.138,-17.9708,-16.8085,-91360.5391,-12629.0488,-22072.8848,-23944.3281,-114457.7812,165470.5625,43608.8789,48151.9609,-149414.0781,0.0,0.0,0.0
1550.543692338,0.1565,-117.1455,-129.3048,-143.61,-134.6916,19535.2227,-100540.4922,-176081.875,-19.1331,2278.6262,-14.3498,-2.1458,-51130.4414,-14474.9678,-86067.2266,-48042.0586
