timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1767.504699913,366.1886,134765.625,110229.4844,79833.9688,99885.5391,66996.2656,158544.5938,179767.1719,-19.6472,4182.2798,-15.0204,1089.5581,-68646.25,-19022.877,-86526.2188,-51696.1445
1767.508493417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82031.2578
1767.509088505,-14.6851,-16.1827,-18.0379,-16.8085,-92231.8359,-20830.752,-25361.3184,-43442.293,-46333.1992,187493.2031,140780.2344,132041.7656,185120.25,-104568.7734,134161.4531,93750.0078
1767.512877712,-14.618,-16.1603,-18.0379,-16.7415,-92275.8438,-20889.6504,-25426.875,-43494.5938,-311.0916,4591.7861,-285.4988,1493.5659,-68716.1953,-19101.0625,-86600.9844,-51759.957
1767.545611019,-14.5733,-16.0709,-18.0155,-16.7638,-92270.4375,-20878.0273,-25418.873,-43498.1953,-247.6573,4553.4082,-225.7303,1455.9032,-68710.9141,-19091.9883,-86589.5156,-51753.4961
1767.548878713,-14.6627,-16.1156,-17.9708,-16.7862,-92271.4453,-20900.6465,-25450.7246,-43523.4492,-284.7836,4471.0864,-267.1033,1372.0842,-68714.25,-19112.7754,-86584.3359,-51768.3398
1767.56052563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0543,0.0,0.0,0.0,0.0,0.0671,-187500.0,-366.0322,8950.376
1767.561124199,-15014.6729,-16502.4043,-18379.2363,-17194.6602,23687.998,9199.4863,-143351.375,86517.3438,2760.3733,-137399.2344,-38162.9453,-173147.7188,-103477.0469,0.0,0.0,0.0
1767.564911777,-14.6404,-16.205,-17.9932,-16.7415,-92276.5391,-20898.7461,-25453.6973,-43527.3867,-283.1072,4499.7192,-264.3317,1401.0297,-68718.9219,-19117.0215,-86587.6875,-51766.6641
1767.577046671,-14.6404,-16.1156,-17.9708,-16.8085,-92255.8203,-20857.5742,-25405.1484,-43484.6055,10679.9766,-174567.6875,-152550.1719,57456.8125,-38824.6211,0.0,0.0,0.0
1767.580853675,-14.618,-16.1827,-17.9708,-16.7862,-92281.6328,-20904.0898,-25460.3574,-43528.6602,-304.5202,4551.2173,-283.6213,1451.9023,-68729.0625,-19117.5137,-86596.9375,-51764.3398
1767.601032521,-14.618,-16.138,-18.0155,-16.8085,-92236.75,-20871.5664,-25420.5059,-43490.5039,4524.3286,100256.5781,-76294.0391,28830.6875,168127.8594,0.0,0.0,0.0
1767.60481973,-14.6404,-16.1827,-18.0602,-16.8309,-92220.9766,-20837.7266,-25377.4336,-43457.5117,-19.7589,4166.2759,-15.0874,1072.6155,-68662.9062,-19033.8965,-86523.6953,-51686.8203
1767.617015312,-14.618,-16.1827,-18.0379,-16.8085,-92247.9766,-20880.3066,-25423.0312,-43496.1133,-64448.5273,162329.3438,-153883.125,59720.5078,-164264.5625,98144.5391,0.0,0.0
1767.620817372,-14.7074,-16.138,-18.0602,-16.8532,-92222.9375,-20839.582,-25373.543,-43454.2266,-21.8377,4163.75,-16.8756,1068.1228,-68659.8438,-19033.2031,-86519.9609,-51682.7969
1767.633010029,-14.618,-16.1156,-18.0379,-16.7638,-92257.4531,-20893.9199,-25437.3125,-43503.4023,46913.6289,33009.3008,175184.7969,184795.1094,45258.4375,-11718.751,0.0,0.0
1767.636803978,-14.6627,-16.1827,-17.9932,-16.7862,-92223.0938,-20845.2812,-25379.8691,-43459.3242,-27.3585,4156.3071,-21.9941,1058.8021,-68665.3438,-19035.3945,-86518.5312,-51685.5938
