timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1334.159551612,-14.6404,-16.0933,-17.9037,-16.7415,-77041.125,-6388.8662,-18557.8711,-11758.8955,-95772.9531,157048.4375,138951.5469,111145.0312,0.0,0.0,0.0,0.0
1334.163372492,0.0,640.8692,366.1886,135498.0469,111328.1172,80932.6016,100632.7422,-111700.6328,-18.7084,372.3354,-14.3945,-16.138,-38908.8008,-18008.4883,-114869.5469,-52293.5586
1334.18355555,-14.5733,-16.1156,-17.9708,-16.7862,-77082.1172,-6466.0693,-18630.4922,-11838.4678,139946.3125,58901.1367,-157505.0469,0.0,0.0,0.0,0.0,0.0
1334.187353079,0.0,0.0,2563.4768,1464.7769,171386.6719,73242.1094,-54199.293,24601.4258,-18.3508,76.2642,-14.3498,-16.1603,-38877.3281,-17978.9395,-114818.5391,-52257.7305
1334.199552633,-14.618,-16.0709,-17.9708,-16.8085,-77092.5938,-6472.4395,-18635.6777,-11839.9873,88906.7031,-145223.9062,-125976.5781,0.0,0.0,0.0,0.0,0.0
1334.211557092,-14.551,-16.138,-17.9708,-16.7415,-77065.5547,-6405.4512,-18575.5957,-11770.5625,-151881.0938,118927.0156,0.0,0.0,0.0,0.0,0.0,0.0
1334.215357899,0.0,0.0,0.3129,0.1565,-116.4302,-129.126,-143.2523,-133.9764,-18.619,447.4596,-14.3722,-16.1827,-38935.3516,-18037.8809,-114885.4609,-52312.918
1334.228100808,-14.6404,-16.1156,-17.9708,-16.8085,-77066.2031,-6401.2715,-18574.3672,-11763.1416,-18.5967,223.8751,-14.4169,-16.1827,-38886.8711,-17984.5938,-114844.8047,-52267.4766
1334.23136874,0.0,0.0,2.5034,1.4082,-937.0075,-1029.9907,-1153.0146,-1071.7661,-18.6414,435.9484,-14.4392,-16.1827,-38930.9727,-18033.2754,-114880.7031,-52310.75
1334.24358572,-14.5957,-16.1603,-17.9485,-16.7415,-77062.8047,-6398.1646,-18566.6113,-11755.7217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1334.247385341,0.0,0.0,640.8692,366.1886,135864.25,110595.6953,81298.8125,100632.7188,-18.6637,417.3741,-14.3945,-16.1827,-38920.6914,-18022.3457,-114876.3672,-52305.7188
1334.259592877,-14.5733,-16.1156,-17.9261,-16.7862,-77061.4609,-6392.3081,-18562.4316,-11747.5186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1334.279586267,-14.5733,-16.138,-18.0155,-16.7862,-77090.3203,-6427.5796,-18599.2227,-11781.5146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1334.283376054,0.0,0.0,0.0,2563.4768,1464.7769,171386.6719,71777.2656,-55664.1367,-9555.8174,-174247.7812,-7358.5742,-8263.8428,-55664.6289,143528.3125,59645.0039,-160778.0625
1334.412186293,-14.5733,-16.138,-17.9932,-16.7862,-77102.25,-6416.5376,-18573.5176,-11789.9189,-18.6414,252.1053,-14.3275,-16.138,-38880.5,-17971.6289,-114847.8906,-52267.9688
1334.596277222,-14.5733,-16.1827,-17.9708,-16.7415,-77127.3516,-6424.0029,-18557.2891,-11804.873,-18.6637,285.7223,-14.3722,-16.1827,-38889.0625,-17980.1895,-114861.4609,-52278.1367
1334.631468708,-14.5733,-16.0709,-17.9485,-16.7638,-77114.9297,-6425.7241,-18569.3594,-11788.623,-18.7084,421.688,-14.3722,-16.1827,-38925.8086,-18013.5391,-114884.9688,-52308.9375
1334.635506108,-14.618,-16.1156,-17.9708,-16.8085,-77150.0391,-6490.2539,-18628.8164,-11845.9551,-18.5072,218.6224,-14.4169,-16.1156,-38907.3008,-17995.7031,-114847.2891,-52291.3008
1334.639476009,-14.551,-16.1827,-17.9708,-16.7862,-77110.9453,-6465.0635,-18598.127,-11827.5371,-18.4625,90.5022,-14.3945,-16.0709,-38871.7852,-17955.0898,-114823.5938,-52257.5742
1334.643479335,-14.5733,-16.0933,-17.9932,-16.7638,-77096.5078,-6416.6719,-18557.0,-11779.1455,-18.7084,199.2882,-14.3722,-16.138,-38882.6914,-17964.2305,-114843.2891,-52266.9609
1334.647477939,-14.5733,-16.0262,-17.9708,-16.7862,-77111.9297,-6423.7349,-18564.8672,-11782.1855,-18.7084,403.1808,-14.3945,-16.1827,-38921.293,-18005.5586,-114878.8672,-52302.0547
1334.651508099,-14.5957,-16.1156,-17.9708,-16.7862,-77145.0547,-6478.8096,-18613.1699,-11831.6504,-18.5296,287.1305,-14.3722,-16.1827,-38919.9531,-18007.9297,-114857.9922,-52301.4492
1334.655496555,-14.5957,-16.1603,-17.9261,-16.7415,-77118.7031,-6477.7144,-18600.7422,-11834.1533,-18.4178,78.5887,-14.3945,-16.205,-38876.7031,-17957.75,-114821.0703,-52261.3516
1334.659491418,-14.5286,-16.1827,-17.9932,-16.7415,-77093.625,-6420.896,-18549.9805,-11780.6885,-18.619,184.916,-14.3945,-16.1827,-38885.0625,-17962.957,-114842.0312,-52269.2188
1334.663490763,-14.4616,-16.138,-17.9932,-16.8532,-77108.9141,-6422.5728,-18552.707,-11777.9609,-18.6861,381.8572,-14.3498,-16.1827,-38919.2383,-17998.832,-114876.6094,-52300.6445
1334.66748733,-14.551,-16.0933,-17.9485,-16.8085,-77143.4922,-6472.5513,-18598.6855,-11822.7764,-18.5967,351.3247,-14.3275,-16.1603,-38935.375,-18018.5469,-114872.0547,-52314.8398
1334.671493378,-14.5286,-16.0933,-17.9485,-16.7415,-77131.2656,-6490.9688,-18607.6484,-11845.8213,-18.3955,65.7812,-14.3722,-16.1156,-38880.6602,-17958.1738,-114819.9922,-52261.3281
