timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1442.181965676,-14.6627,-16.0933,-17.9932,-16.8085,-87317.3359,-9050.4229,-20458.5078,-14114.4785,-18.9096,1184.3295,-14.3722,-16.1603,-43539.8555,-13820.4414,-86844.1953,-47302.5508
1442.185965803,-14.5957,-16.138,-17.9708,-16.7862,-87282.5547,-8994.834,-20400.125,-14056.1855,-18.9096,1272.3507,-14.3498,-16.1827,-43536.75,-13808.5947,-86853.0938,-47296.9609
1442.189963449,-14.5733,-16.1827,-18.0155,-16.8085,-87300.9062,-8994.3867,-20403.4766,-14048.4961,-18.9766,1434.5573,-14.3945,-16.0709,-43560.1953,-13833.2266,-86880.4297,-47318.8008
1442.193961242,-14.6627,-16.1827,-18.0379,-16.8085,-87332.3125,-9035.7373,-20447.0176,-14086.3818,-18.9543,1565.4716,-14.3945,-16.0933,-43599.9375,-13883.8086,-86911.0703,-47360.6211
1442.197958851,-14.5733,-16.138,-18.0379,-16.7862,-87331.5547,-9062.001,-20474.9141,-14122.9717,-18.9096,1208.3353,-14.4392,-16.1156,-43550.5625,-13833.2939,-86851.3672,-47316.0938
1442.201957848,-14.551,-16.138,-17.9932,-16.7638,-87282.1562,-8997.4932,-20410.4961,-14059.4033,-18.9543,1243.1593,-14.3498,-16.0709,-43537.4414,-13812.6631,-86850.1406,-47300.0234
1442.205954623,-14.5733,-16.1156,-18.0155,-16.8085,-87296.5234,-8989.8721,-20407.3887,-14041.3887,-18.9319,1396.4923,-14.3945,-16.0709,-43557.5391,-13834.3213,-86875.4453,-47317.3008
1442.209952287,-14.5957,-16.1156,-17.9932,-16.7638,-87324.3281,-9019.2646,-20441.2734,-14070.2441,-18.9766,1580.0225,-14.3498,-16.0933,-43602.9766,-13888.9492,-86914.3594,-47361.1328
1442.213951526,-14.6627,-16.0709,-17.9932,-16.7638,-87336.5391,-9057.1953,-20479.0254,-14119.5303,-18.9319,1257.0621,-14.3275,-16.138,-43562.1875,-13850.6826,-86861.0938,-47323.1562
1442.217946893,-14.6404,-16.0933,-17.9708,-16.8085,-87287.7422,-8997.2695,-20417.7383,-14067.0254,-18.8872,1221.7017,-14.2828,-16.138,-43539.5234,-13820.8887,-86848.1016,-47299.5547
1442.221948391,-14.6404,-16.0933,-17.9708,-16.8085,-87295.4766,-8980.2383,-20403.7227,-14040.9414,-18.8872,1340.6129,-14.3275,-16.0933,-43550.6758,-13828.6221,-86865.4766,-47307.8711
