song,filePath,songDuration
"saja boys_ andrew choi, neckwav, danny chung, kevin woo & samuil lee - soda pop","diverse_playlist_100_songs/saja boys_ andrew choi, neckwav, danny chung, kevin woo & samuil lee - soda pop.mp3",171
"saja boys_ andrew choi, neckwav, danny chung, kevin woo & samuil lee - your idol","diverse_playlist_100_songs/saja boys_ andrew choi, neckwav, danny chung, kevin woo & samuil lee - your idol.mp3",192
selena gomez - lose you to love me,diverse_playlist_100_songs/selena gomez - lose you to love me.mp3,208
selena gomez - same old love,diverse_playlist_100_songs/selena gomez - same old love.mp3,229
shawn mendes - stitches,diverse_playlist_100_songs/shawn mendes - stitches.mp3,207
sombr - back to friends,diverse_playlist_100_songs/sombr - back to friends.mp3,200
stephen sanchez - until i found you,diverse_playlist_100_songs/stephen sanchez - until i found you.mp3,179
surf mesa featuring emilee - ily,diverse_playlist_100_songs/surf mesa featuring emilee - ily.mp3,182
tate mcrae - sports car,diverse_playlist_100_songs/tate mcrae - sports car.mp3,166
taylor swift - anti-hero,diverse_playlist_100_songs/taylor swift - anti-hero.mp3,204
taylor swift - cruel summer,diverse_playlist_100_songs/taylor swift - cruel summer.mp3,180
taylor swift - i can do it with a broken heart,diverse_playlist_100_songs/taylor swift - i can do it with a broken heart.mp3,219
taylor swift - lavender haze,diverse_playlist_100_songs/taylor swift - lavender haze.mp3,207
taylor swift featuring ice spice - karma,diverse_playlist_100_songs/taylor swift featuring ice spice - karma.mp3,206
taylor swift featuring post malone - fortnight,diverse_playlist_100_songs/taylor swift featuring post malone - fortnight.mp3,229
the marias - no one noticed,diverse_playlist_100_songs/the marias - no one noticed.mp3,238
the weeknd - blinding lights,diverse_playlist_100_songs/the weeknd - blinding lights.mp3,204
the weeknd - in the night,diverse_playlist_100_songs/the weeknd - in the night.mp3,236
the weeknd & ariana grande - save your tears,diverse_playlist_100_songs/the weeknd & ariana grande - save your tears.mp3,186
the weeknd featuring daft punk - starboy,diverse_playlist_100_songs/the weeknd featuring daft punk - starboy.mp3,231
tones and i - dance monkey,diverse_playlist_100_songs/tones and i - dance monkey.mp3,216
travis scott featuring playboi carti - fe!n,diverse_playlist_100_songs/travis scott featuring playboi carti - fe!n.mp3,194
"tyler, the creator featuring glorilla, sexyy red & lil wayne - sticky","diverse_playlist_100_songs/tyler, the creator featuring glorilla, sexyy red & lil wayne - sticky.mp3",260
"tyler, the creator featuring lola young - like him","diverse_playlist_100_songs/tyler, the creator featuring lola young - like him.mp3",280
wham! - last christmas,diverse_playlist_100_songs/wham! - last christmas.mp3,268
x ambassadors - unsteady,diverse_playlist_100_songs/x ambassadors - unsteady.mp3,192
xavi - la diabla,diverse_playlist_100_songs/xavi - la diabla.mp3,173
xxxtentacion - look at me!,diverse_playlist_100_songs/xxxtentacion - look at me!.mp3,128
zach bryan - something in the orange,diverse_playlist_100_songs/zach bryan - something in the orange.mp3,263
